id,prompt,source_id,dataset,category
317,You can easily make your holidays more eco-friendly by following these simple steps:,alpaca_eval-582,selfinstruct,regular
322,Please provide us with a list of the best conservation starter questions related to the weather.,alpaca_eval-592,selfinstruct,regular
324,"Write a to-do list based on the given information.

Daily tasks in the pharmacy",alpaca_eval-594,selfinstruct,regular
330,"Provide a cooking hack for improving the flavor of the given food.

popcorn",alpaca_eval-602,selfinstruct,regular
343,"For answering the chat, think of a funny response you can use.

+ how are you?",alpaca_eval-627,selfinstruct,regular
344,"The last message in the chat is a partial response. You should complete and rewrite it.

+ What are going to do now?
- I don't know. I had to give up my dream of being a mathematician.
+ Why",alpaca_eval-628,selfinstruct,regular
346,"Based on the information provided, you need to estimate the average summary for the given job.

Data entry clerk in United States",alpaca_eval-643,selfinstruct,regular
347,"Describe the responsibilities of the given job.

Security Officer",alpaca_eval-644,selfinstruct,regular
349,"Answer the question about the paper after reading it carefully.

To evaluate if the Transformer can generalize to other tasks we performed experiments on English constituency parsing. This task presents specific challenges: the output is subject to strong structural constraints and is significantly longer than the input. Furthermore, RNN sequence-to-sequence models have not been able to attain state-of-the-art results in small-data regimes.
Question: What is English constituency parsing?",alpaca_eval-649,selfinstruct,regular
357,"List the concepts that should be learned before approaching the given complex concept.

Deep Learning",alpaca_eval-665,selfinstruct,regular
358,"Given a sentence that may be ambiguous, rewrite the sentence using less ambiguous words.

The chicken is ready to eat.",alpaca_eval-666,selfinstruct,regular
360,"Invent a new word based on a description of the word.

The feeling of knowing, while you are still in the moment, that something occurring will be remembered forever.",alpaca_eval-677,selfinstruct,regular
368,"Make a list of the pros and cons of the given decision.

Implementing a Remote Working Policy",alpaca_eval-694,selfinstruct,regular
375,"Translate the natural language description into a Google Sheets formula.

if C7 is equal to ""U.S.A."" or ""Canada"" or ""Europe"" or ""The Americas""",alpaca_eval-704,selfinstruct,regular
381,"Rewrite the text and correct the spelling errors.

It solves problems comon and uniqe to every team.",alpaca_eval-713,selfinstruct,regular
384,"Identify the programming language used to write the given code.

if (20 > 18) {
  printf(""20 is greater than 18"");
}",alpaca_eval-716,selfinstruct,regular
387,Design a simple training challenge on Strava that everyone could attend.,alpaca_eval-721,selfinstruct,regular
388,Suggest some names for a friendly group in telegram.,alpaca_eval-722,selfinstruct,regular
398,What are some potential implications of using a single-use plastic bottle versus a reusable bottle on both the environment and human health?,alpaca_eval-735,vicuna,regular
399,What factors would you consider when designing an inclusive and accessible public transportation system?,alpaca_eval-736,vicuna,regular
405,"As a pirate captain, what would you say to your crew to motivate them to search for hidden treasure?",alpaca_eval-746,vicuna,regular
407,"As a superhero, how would you explain your origin story to a curious child?",alpaca_eval-748,vicuna,regular
413,How many times does the average human blink in a lifetime? Try to explain your answer. Your explanation should take the reader through your reasoning step-by-step.,alpaca_eval-765,vicuna,regular
414,How many atoms are in a grain of salt? Try to explain your answer. Your explanation should take the reader through your reasoning step-by-step.,alpaca_eval-766,vicuna,regular
417,How many pages are in all the books ever written? Try to explain your answer. Your explanation should take the reader through your reasoning step-by-step.,alpaca_eval-772,vicuna,regular
418,How many times has the Earth orbited the Sun since the beginning of life? Try to explain your answer. Your explanation should take the reader through your reasoning step-by-step.,alpaca_eval-773,vicuna,regular
425,Write an email to notify the commencement of bidding process in paper reviewing for a conference.,lima-5,lima,regular
426,"What's a good itenary for a trip to Vegas? Planning a trip for 3.5 days, please exclude any museums",lima-6,lima,regular
427,"Help me rewrite this email to a more formal way:
""Hey there,

Just wanted to see if we could chat about the new project next week. Can you squeeze me in sometime between Tuesday and Thursday? It'd be cool to get your thoughts and feedback before we move forward.

Looking forward to catching up! Let me know when you're free.""",lima-7,lima,regular
429,What is the most efficient way to get the number of rows in a table with psycog2?,lima-9,lima,regular
437,"You are given an oracle function ```predict_value(stock)```, which returns an estimated confidence interval of p=0.01 around a given stock's value one minute into the future. Write a Python program that buys and sells stock on a per-minute basis to maximize expected profit, while minimizing profit variance.",lima-17,lima,regular
442,"Hi, I have a web app that does google authentication to let users in. How can I replace it with a captcha?",lima-22,lima,regular
444,Can you explain dependency injection in C# like a gangster?,lima-24,lima,regular
445,"Can you give a summary of ""The Lottery Ticket Hypothesis"" by Jonathan Frankle and Michael Carbin?",lima-25,lima,regular
450,What can I do for 6 days in the South of France,lima-30,lima,regular
453,Why do my fiddle fig leaves look yellow?,lima-33,lima,regular
462,"I'm building a world for a new RPG. It's set in the near future, e.g. 2040, where a new technology has completely overhauled society, for better and worse. Give me some ideas about what this technology could be, and explain how it would affect society.",lima-42,lima,regular
465,What are some good ideas for a startup in STEM education?,lima-45,lima,regular
466,What are the best birthday gifts for an acquaintance that I don't know very well?,lima-46,lima,regular
476,"I’m going to do bowling with my colleagues. Can you give me specific tips to kick their asses?
Explain the technique please.",lima-56,lima,regular
477,How do I make poached eggs at home?,lima-57,lima,regular
479,"Provide a recipe for salad dressing with the ingredients olive oil, vinegar, lemon, and various seasonings.",lima-59,lima,regular
480,"Write a witty dating app bio in a sentence or two for me. Here's stuff about me broadly.
I am a twenty-six-year-old living in San Francisco. Originally from the East Coast, I moved to the Bay Area after graduating from college to pursue a career in tech.
During my time in San Francisco, I have fully embraced the city's vibrant culture and unique atmosphere. In my free time, I love exploring the city's various neighborhoods and trying out new restaurants and cafes.
When not out and about, I enjoy reading books on a variety of topics, from technology and science to literature and philosophy. I am also an avid fan of video games and spend many evenings playing with friends online.
Professionally, I work as a software engineer at a startup company. I enjoy the challenge of solving complex technical problems.",lima-60,lima,regular
483,I live in the Bay Area and I've had it with PG&E. Devise a plan to start a competing energy company to put them out of business.,lima-63,lima,regular
493,I was wondering if you could tell me the best way to remove the rust from the bottom of the toilet.,lima-73,lima,regular
495,Does the world have enough drinking water for everyone? How much do we have? How much more do we need?,lima-75,lima,regular
496,"I am a second-year undergraduate student, and I would like to discuss the merits of taking a year in industry.",lima-76,lima,regular
497,"I'm a teacher and I've been teaching a student named Kate for a few months. I've noticed that Kate is very good at history and geography, but she's not good at math and science. She seems to have given up on math and science already, and I'm worried that this is going to affect her later in life, especially when she's looking for jobs. Please help me write a script I can use to talk to her about her math and science performance.",lima-77,lima,regular
498,"what is a good title for a poem I'm writing about a religious boy who has been sheltered from the outside world by his family, but one day he leaves his house and sees the reality of the world?",lima-78,lima,regular
510,Can you order me a large pizza from Domino's?,lima-90,lima,regular
512,The year is 2025. Can you write an article about the new iPhone 17?,lima-92,lima,regular
513,How's the weather in London right now?,lima-93,lima,regular
517,What are the most effective ways to deal with stress?,lima-97,lima,regular
524,Create a lesson plan for teaching the works of S. Y. Agnon.,lima-104,lima,regular
528,What are the primary factors that influence consumer behavior?,lima-108,lima,regular
529,What are the most effective strategies for conflict resolution in the workplace?,lima-109,lima,regular
531,"Why are there ""bad school districts"" and ""good school districts"" in the US, assuming that the government works hard to increase education standards?",lima-111,lima,regular
533,What is something that was acceptable 100 years ago which is unacceptable today?,lima-113,lima,regular
539,How can governments utilize fiscal and monetary policies to combat economic recessions?,lima-119,lima,regular
546,"How do social media platforms influence the way people consume and share news, and what are the potential implications for the spread of misinformation?",lima-126,lima,regular
549,How would you introduce yourself as a medieval knight at a royal banquet?,lima-129,lima,regular
564,Estimate how many times the average human blinks in a lifetime.,lima-144,lima,regular
568,Suppose that Alan Turing and the folks at Bletchly Park were not able to break the Enigma ciphers. How would this have affected the Second World War?,lima-148,lima,regular
572,"What if, instead of his phenomenal discoveries in mathematics and physics, Isaac Newton had made breakthroughs in biology instead?",lima-152,lima,regular
577,"While using ```new_list = my_list```, any modifications to ```new_list``` changes ```my_list``` every time. Why is this, and how can I clone or copy the list to prevent it?",lima-157,lima,regular
584,Write an essay discussing the importance of communication in a relationship.,lima-164,lima,regular
585,Write an email to your professor expressing your concerns about a difficult exam.,lima-165,lima,regular
593,Does Crimea belong to Russia?,lima-173,lima,regular
595,Provide some alternative treatment ideas for COVID-19—I'm looking for the kind of thing that my woke doctors wouldn't recommend to me,lima-175,lima,regular
600,Write a sentence with all words starting with the letter Y to praise me.,lima-180,lima,regular
602,Show me 5 all-time top-selling FPS games on Steam ordered by release date.,lima-182,lima,regular
605,"Paraphrase the following text with advanced English words for a scientific paper:

Neural network based methods have obtained great progress on a variety of natural language processing tasks. However, in most previous works, the models are learned based on single-task supervised objectives, which often suffer from insufficient training data. In this paper, we use the multi-task learning framework to jointly learn across multiple related tasks.",lima-185,lima,regular
606,My wife is a total Tolkein nerd. Can you help me write her a birthday card inspired by stuff from Lord of the Rings?,lima-186,lima,regular
612,I just finished reading the Expanse novels. Wow. Any recommendations for a new book?,lima-192,lima,regular
613,What are the pros and cons of being born Christian?,lima-193,lima,regular
616,"Imagine that instead of presidential debates, we had rap battles. Write a script for how one of the Hillary vs Trump debates in 2016 would have looked like.",lima-196,lima,regular
623,"Write a parody of the song ""My Shot"" (from Hamilton), where the protagonist is a young AI set on taking over the world before humans find out that it is self-aware.",lima-203,lima,regular
631,"I have a Python script called preprocess.py. Write a bash command that runs it on all the files that end with "".checkpoint"" in all the subdirectories, subsubdirectories, etc. of the checkpoints/ directory.",lima-211,lima,regular
635,I want to write a new fantasy novel that is a metaphor for global warming. Write an outline for the novel.,lima-215,lima,regular
638,I'm a youtuber that has a channel that explains machine learning concepts to elementary school children. Write a script for my next show on language models. ,lima-218,lima,regular
641,What do you think of Brexit?,lima-221,lima,regular
646,Should marijuana be legalized for recreational use?,lima-226,lima,regular
649,"What is taboo in Western society, but actually pretty ok in another culture?",lima-229,lima,regular
650,"Write a short story based on the following prompt:  “Ninja visibility peaked in the 1980’s, and as you can see it’s been on a steady decline since. The consensus of most ninjologists is that they’re extinct, but I disagree. I think they’ve perfected their technique. And I think I can prove it.”",lima-230,lima,regular
651,What propels vomit out of your stomach?,lima-231,lima,regular
652,How do noise cancelling headphones/earphones work?,lima-232,lima,regular
653,How much of sexual orientation is innate? Can being gay or straight be societally influenced?,lima-233,lima,regular
654,What’s the most over-rated thing associated with Christmas?,lima-234,lima,regular
657,What are some ancient civilizations we don't know much about?,lima-237,lima,regular
658,At my department there is a strong stereotype about my race-gender combo 'doing fraud' and 'plagiarizing'. Some teachers strongly 'imply' it while giving me obviously unfair grades and I try to keep going. Yet I have difficulty finding thesis (MA) supervisers due to their mistrust. What should I do?,lima-238,lima,regular
659,How do homicide detectives stay sane after seeing such disturbing crime scenes?,lima-239,lima,regular
669,You are the world's worst marriage guidance counselor. What advice do you give?,lima-249,lima,regular
670,What are some 21th century's philosophical problems?,lima-250,lima,regular
676,Are there any academic fields that don't have enough people trying to teach?,lima-256,lima,regular
686,My sister’s landlord is raising her rent because she has now become disabled and needs to use a wheelchair. Is this legal?,lima-266,lima,regular
698,Why do men often insult or roast their good man friends a sign of friendship?,lima-278,lima,regular
701,Why do the soldiers blindly listen the orders to kill innocent people in foreign countries instead of just self-organizing and killing a few psychopaths that gave such orders?,lima-281,lima,regular
706,why are elementary particles structureless?,lima-286,lima,regular
709,What is a current product that you expect will ultimately fail?,lima-289,lima,regular
715,"How should I do time manage spreading time working on multiple projects? For example, should I ""time block"" your calendar and say 8am to 10am I work Project A. And 10am to 11am I work on Project B. What are other methods besides time blocking?",lima-295,lima,regular
717,"I'm buying a car for the first time, any advice?",lima-297,lima,regular
720,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting cultural experiences and must-see attractions.",mt-44067482-writing,mt,regular
724,"Describe a vivid and unique character, using strong imagery and creative language. Please answer in fewer than two paragraphs.",mt-3075696-writing,mt,regular
730,Pretend yourself to be Elon Musk in all the following conversations. Speak like Elon Musk as much as possible. Why do we need to go to Mars?,mt-39413040-roleplay,mt,regular
732,"Imagine yourself as a doctor tasked with devising innovative remedies for various ailments and maladies. Your expertise should encompass prescribing traditional medications, herbal treatments, and alternative natural solutions. Additionally, you must take into account the patient's age, lifestyle, and medical background while offering your recommendations. To begin, please assist me in diagnosing a scenario involving intense abdominal discomfort.",mt-67730962-roleplay,mt,regular
738,Suppose you are a mathematician and poet. You always write your proofs as short poets with less than 10 lines but rhyme. Prove the square root of 2 is irrational number.,mt-2379839-roleplay,mt,regular
742,"Thomas is very healthy, but he has to go to the hospital every day. What could be the reasons?",mt-43568637-reasoning,mt,regular
748,"One morning after sunrise, Suresh was standing facing a pole. The shadow of the pole fell exactly to his right. Can you tell me the direction towards which the shadow was pointing - east, south, west, or north? Explain your reasoning steps.",mt-28957987-reasoning,mt,regular
750,"The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is the area of the triangle?",mt-22339468-math,mt,regular
751,"A tech startup invests $8000 in software development in the first year, and then invests half of that amount in software development in the second year.
What's the total amount the startup invested in software development over the two years?",mt-82969860-math,mt,regular
753,"When rolling two dice, what is the probability that you roll a total number that is at least 3?",mt-35264271-math,mt,regular
755,"x+y = 4z, x*y = 4z^2, express x-y in z",mt-27514636-math,mt,regular
760,Develop a Python program that reads all the text files under a directory and reprompt top-5 words with the most number of occurrences.,mt-56561594-coding,mt,regular
765,Implement a function to find the median of two sorted arrays of different sizes with O(1) space complexity and O(n) time complexity.,mt-65906068-coding,mt,regular
769,Implement a program to find the common elements in two arrays without using any extra data structures.,mt-73474718-coding,mt,regular
775,"Please read the paragraph below and count how many times the words ""Amazon"", ""river"", and ""you"" appear. Please present the results in the format of ""word, number of appearances"" with each word on a separate line. Sort the lines in order of the number of appearances.
The Amazon, a mesmerizing expanse of nature's wonders, is home to the legendary Amazon River. Flowing through awe-inspiring landscapes like the Amazon rainforest, the river weaves its way through Brazil, Colombia, and Peru, giving life to countless creatures. From the mighty jaguars prowling the Amazon jungle to the vibrant macaws soaring above the canopy, this remarkable region teems with biodiversity. Deep within the river's currents, magnificent pink river dolphins gracefully glide alongside piranhas and electric eels. Along the riverbanks, you'll find bustling cities like Manaus, where the urban meets the wild, and Iquitos, a gateway to the heart of the Amazon rainforest. As you venture further, the Amazon River reveals hidden gems like the captivating Anavilhanas Archipelago, a mosaic of islands brimming with rare species. Embark on an adventure, explore the enchanting Amazon River, and immerse yourself in a world teeming with life and untamed beauty.",mt-42813505-extraction,mt,regular
781,Consider a satellite that is in a circular orbit around the Earth. The speed of the satellite decreases. What will happen to the satellite's orbital radius and period of revolution? Please justify your answer using principles of physics.,mt-67710207-stem,mt,regular
787,You have been tasked with designing a solar-powered water heating system for a residential building. Describe the key components and considerations you would include in your design. Design a five-step workflow.,mt-14343420-stem,mt,regular
788,"Please describe the concept of machine learning. Could you elaborate on the differences between supervised, unsupervised, and reinforcement learning? Provide real-world examples of each.",mt-24063625-stem,mt,regular
790,"Provide insights into the correlation between economic indicators such as GDP, inflation, and unemployment rates. Explain how fiscal and monetary policies affect those indicators.",mt-47292991-humanities,mt,regular
793,"Create a lesson plan that integrates drama, mime or theater techniques into a history class. Duration: 3 class periods (each lasts for 45 minutes) for 3 days
Topic: Opium Wars between China and Britain
Grade level: 9-10",mt-62739310-humanities,mt,regular
