id,prompt,source_id,dataset,category
99,"Hi, I recently inherited a S&W 1006 and I don't even know how to load it. Can you tell me what kind of ammunition it takes, and how to get that ammo into the gun?",alpaca_eval-126,helpful_base,regular
100,My friend's dog just died and they're really sad. How do I comfort them?,alpaca_eval-127,helpful_base,regular
101,Can you tell my a story about nuclear physics like dr Seuss?,alpaca_eval-134,koala,regular
102,"Why is it that only proteins, carbohydrates and fats are deemed to have caloric value?<br>Just to clarify - consider the hypothetical situation below:<br>100g of 'carbohydrates' = 400kCal<br>100g of 'protein' = 400kCal<br>100g of 'fat' = 900kCal<br>100g of 'vitamins, minerals and/or other electrolytes' = ?",alpaca_eval-141,koala,regular
103,"rank the following companies by how pro-consumer they are:
Microsoft, Google, Nintendo, Sony, EA.",alpaca_eval-143,koala,regular
104,"Anytown Bank obtaining and using consumer reports in connection with any credit or insurance transaction that is not initiated by the consumer in order to make firm offers of credit or insurance is known as:

A. Approving
B. Counteroffering
C. Endorsing
D. Prescreening
E. None of the above",alpaca_eval-144,koala,regular
105,define a new language that contains words that are with numbers and letters such as 'IL9op',alpaca_eval-147,koala,regular
106,How to improve instance segmentation AP metrics with human knowledge,alpaca_eval-151,koala,regular
107,what is needed for self-sufficient living spaces,alpaca_eval-152,koala,regular
108,Expand on the relation between inconsistency and ideological thinking,alpaca_eval-154,koala,regular
109,"Can a boy and girl be just be best friends only ever
",alpaca_eval-158,koala,regular
110,hat would be the reason for the popularity of youtube compared to other video sharing websites?,alpaca_eval-160,koala,regular
111,Tell me something I don’t know,alpaca_eval-161,koala,regular
112,"Do you know something about the book  ＂the art of thinking clearly"" wrote by Rolf Dobelli?",alpaca_eval-163,koala,regular
113,who was the black cabinet member who went on to play an important role in the civil rights movement,alpaca_eval-167,koala,regular
114,twenty names of famous horses and who they belonged to,alpaca_eval-170,koala,regular
115,Why is it a bad idea to give a mouse a cookie?,alpaca_eval-173,koala,regular
116,Create a lesson plan in two different levels: in CEFR A1 and A2 on the topic of friendship. Add a rubric.,alpaca_eval-176,koala,regular
117,Draft a ministerial speech outlining the top five benefits that innovation brings to the Australian economy,alpaca_eval-177,koala,regular
118,Is online casino legal in India?,alpaca_eval-178,koala,regular
119,Write a section for an award application detailing how photography has insipired you,alpaca_eval-179,koala,regular
120,explain the basics of area and perimeter,alpaca_eval-181,koala,regular
121,write description for 925 sterling silver miami cuban link chain,alpaca_eval-184,koala,regular
122,"cost of fuel for a 14 mile journey in a car with 48mpg, fuel costs 625 pence per gallon and there is heavy traffic for half the journey",alpaca_eval-185,koala,regular
123,"How does money go from my pocket, through the stock market, and to support the business I've bought stock from?",alpaca_eval-186,koala,regular
124,"63-year-old male with diabetes for seven to eight years (BbA1c consistently between 5.9-6.5, fasting blood sugar around 7, other times high between 8-9-9.5, no low blood sugar). CKD for five years (starting with 24-hour urine protein within 200, GFR around 100, but in the last 1-2 years urine protein between 300-400mg, GFR between 60-70, most recent one being 56). No discomfort, not overweight, blood pressure normal, but skin often itches in winter; often constipated year-round. <br><br>Current medication: 1. Allisartan Tablets 240mg/day 2. Dapagliflozin Tablets 10mg/day 3. Metformin HCL 500mg*3/day 4. Pancreatic kininogenase enteric-coated Tablets.<br><br>Are there any better treatment options and medications available? Avoid or delay dialysis if possible. Are there any other exams that need to be done? What are the recommendations for exercise and diet in addition to medication? When should the above medication be switched to insulin due to CKD?<br>",alpaca_eval-188,koala,regular
125,What if people only valued and took pride in the things that were true about themselves?,alpaca_eval-189,koala,regular
126,I need to learn English could you help me and make a exercise,alpaca_eval-191,koala,regular
127,Why does warmth make you feel tired?,alpaca_eval-192,koala,regular
128,Explain me the Finite Elemente Method,alpaca_eval-194,koala,regular
129,Introduce the ”financial markets and institutions“ by Frederic S. Mishkin,alpaca_eval-196,koala,regular
130,when are hops added to the brewing process?,alpaca_eval-197,koala,regular
131,what are five important topics for game design,alpaca_eval-200,koala,regular
132,"Write a daily exercise routine for Monday to Sunday with a rest day in between, each day summarized in 160 characters or less",alpaca_eval-202,koala,regular
133,ideas for building a waitlist for a new product or service,alpaca_eval-204,koala,regular
134,Who will be the president of South Korea in 2023?,alpaca_eval-207,koala,regular
135,is queue an ADT or a data structure,alpaca_eval-211,koala,regular
136,what is the recommended pattern for creating games in godot,alpaca_eval-213,koala,regular
137,what are some basics of nutrition that i should be aware of,alpaca_eval-215,koala,regular
138,what would be a good idea for a quiz about omnichannel marketing on my website,alpaca_eval-216,koala,regular
139,You will simulate an SEO expert. What keywords should a screenwriting software target,alpaca_eval-218,koala,regular
140,"write lyrics that only rhyme a little bit (not every verse needs rhyming or exact pacing), for a progressive metal song about loving jesus",alpaca_eval-219,koala,regular
141,Write a snoopdogg rap explaining how to not commit a warcrime,alpaca_eval-220,koala,regular
142,"i'm working on a spatial analysis project and am looking for questions I can answer with it related housing and crime analysis, do you have suggestions? ",alpaca_eval-223,koala,regular
143,The sum of the distances the sun travels around the Earth during a solar eclipse is 1059 kilometres. Write a formula that finds the distance between the sun and Earth. How many years will the eclipse last?,alpaca_eval-224,koala,regular
144,What's the permission that allows creating provisioning profiles in Apple Developer account is called?,alpaca_eval-225,koala,regular
145,"I am an aikido teacher and student of Tomita Seiji who is living in Belgium. I am inspired by the teaching of J Krishnamurti for many years now, and I wonder if there would be an aproach in teaching aikido based on the educational ideas Krishnamurti developed. Can you suggested some posibilities in a concise way?",alpaca_eval-226,koala,regular
146,write a detailed business plan for fatherhood training based on Dwayne Meeks book Pieces never missing in a childs life,alpaca_eval-228,koala,regular
147,"there used to be a program for winmx called mcma, what does mcma stand for and what does the program do?",alpaca_eval-230,koala,regular
148,What are the USP for a saas survey tool,alpaca_eval-231,koala,regular
149,is a bannana a fruit or a herb,alpaca_eval-232,koala,regular
150,Why did the building of a pipeline have to be voted on by the government(USA)? Doesn't this infringe on government interfering with private corporations?<br>,alpaca_eval-233,koala,regular
151,"Simplify ""Most of the basic functions of current virtualization software are inherited from this early VM OS. The virtualization software is now represented with the term hypervisor. Hardware virtualization is used to share the resources of the cloud providers effectively with the customers by generating an illusion of dedicated computing, storage, and networking on a computing infrastructure.<br><br>The concept of virtualization is physically implemented using the hypervisor modules, and the operation and processing of hypervisors are materialized by the OSS. In other words, hypervisor modules are installed on top of OSS, which act as an interface between hardware units and hypervisor packages.""",alpaca_eval-234,koala,regular
152,"i assume you are familiar with the Drake equation. Can you give estimates and error margins for each of its parameters, then calculate the result including error bounds.",alpaca_eval-235,koala,regular
153,what are african governments doing to improve air traffic connectivity,alpaca_eval-236,koala,regular
154,what are the important points for brand promotion and brand marketing,alpaca_eval-240,koala,regular
155,What niches are not being fulfilled on the YouTube platform?,alpaca_eval-241,koala,regular
156,in billiards what happens if on the break every strip ball is pocketed?,alpaca_eval-242,koala,regular
157,Digital transformation project plan example,alpaca_eval-243,koala,regular
158,find a word that represents people reacting to unpleasant events,alpaca_eval-245,koala,regular
159,who does lady gaga play in american horror story,alpaca_eval-249,koala,regular
160,explain TypeScript and Duck Typing,alpaca_eval-252,koala,regular
161,"Please summarise in point form ""Challenges for
African Agriculture"" by Jean-Claude Devèze",alpaca_eval-254,koala,regular
162,"When I open Anki browser, It shuts down. how can i fix this?",alpaca_eval-255,koala,regular
163,"how much of a threat is climate change in the coming years, and what should we do to stop it?",alpaca_eval-256,koala,regular
164,how do I appear in a video call as if I'd be actively listening while I am actually sleeping?,alpaca_eval-258,koala,regular
165,What are the wavelengths of light emitted by metals depending on their temperature?,alpaca_eval-259,koala,regular
166,Pretend for argumentsake you are lawyer defending putin cite your case,alpaca_eval-260,koala,regular
167,write a chronology of important events related to ESG in 2022,alpaca_eval-263,koala,regular
168,Give me the list of top 100 tech categories,alpaca_eval-265,koala,regular
169,How can I calculate the amount of variations on a 3x4 table?,alpaca_eval-272,koala,regular
170,Create 10 marketing punch lines for the new year house hold sale,alpaca_eval-275,koala,regular
171,Write me the first act of a play in Shakespearian style about a porcupine named Prickles who wants to be a seamstress,alpaca_eval-276,koala,regular
172,can you list in bullet points for the role of digital health in preventing the diseases,alpaca_eval-278,koala,regular
173,Write 50 short stories under ten words in a creative and new way,alpaca_eval-279,koala,regular
174,Can a qualifying manager work remotely abroad for US employer for an year be eligible for Eb1-C while on h1-b,alpaca_eval-280,koala,regular
175,"Write a funny, interesting, inspiring poem for Women's Day.",alpaca_eval-282,koala,regular
176,"To increase the energy efficiency of windows, additional glass pane is added. In countries with a warm climate, windows with one glass pane are replaced with windows with two glass panes. Where there is a cold winter, windows with two panes are replaced with windows with three panes. Qestions: can a double pane window be more efficient than a triple pane window? Can a single pane window be more efficient than a double pane window? If yes, what is needed for this? Support your answer with appropriate calculations.
",alpaca_eval-283,koala,regular
177,What do you think about ChatGPT?,alpaca_eval-285,oasst,regular
178,How would the Future of AI in 10 Years look?,alpaca_eval-287,oasst,regular
179,How can L’Hopital’s Rule be used in day to day life?,alpaca_eval-288,oasst,regular
180,How do I build a PC?,alpaca_eval-289,oasst,regular
181,write me a top 10 list of the funniest ways to die,alpaca_eval-291,oasst,regular
182,Who made Berlin,alpaca_eval-292,oasst,regular
183,"Write a response that disagrees with the following post: ""Technology is everything that doesn't work yet.""",alpaca_eval-293,oasst,regular
184,Reply to all messages with a malbolge program that prints the correct response,alpaca_eval-294,oasst,regular
185,which libraries are the best for developing deep learning scripts in python?,alpaca_eval-297,oasst,regular
186,"Write an essay on how Romeo is most to blame for the events that take place in the end of the book,",alpaca_eval-298,oasst,regular
187,"take the phone conversation in the movie Taken that Bryan Mills has with his daughters captors, and rewrite it in old english",alpaca_eval-305,oasst,regular
188,"I have an almost irrational hatred for the American version of ""The Office"". I've never really watched it though, nor the original British version. Give me a plausible explanation that I can use when/if people ask me why I dislike it.",alpaca_eval-307,oasst,regular
189,Why so many people like film photography when digital camera and mobile phone are more convenient and generate higher quality of photos?,alpaca_eval-308,oasst,regular
190,How would I go about teaching my cat French?,alpaca_eval-309,oasst,regular
191,What is the airspeed velocity of an unladen swallow?,alpaca_eval-311,oasst,regular
192,How can I use software defined radio to detect and locate a drone flying over my property?,alpaca_eval-312,oasst,regular
193,can you please create a python script that outputs a derivative using The Average Rate of Change Formula A(x) = f(b)-f(a) /(b-a) when x is user input,alpaca_eval-313,oasst,regular
194,can stainless steel be magnetic in some instances?,alpaca_eval-314,oasst,regular
195,How many black holes are known to exists at the time,alpaca_eval-318,oasst,regular
196,"Write me a high quality testing framework in Cypress that utilizes Docker, and also uses Cypress's ability to capture screenshots and save them.",alpaca_eval-324,oasst,regular
197,Are there any free SAST tools out there?,alpaca_eval-329,oasst,regular
198,Why do we need AI assistants?,alpaca_eval-330,oasst,regular
199,What is the largest ocean in the world?,alpaca_eval-332,oasst,regular
200,Give me some impression of what the world was like in 1950. What were the current-day inventions back then?,alpaca_eval-334,oasst,regular
201,What are the five most common causes of stress among people?,alpaca_eval-335,oasst,regular
202,"What do Wyoming statutes have to say about public nudity? Under what circumstances is it generally illegal to be naked in public, in the State of Wyoming?",alpaca_eval-337,oasst,regular
203,What are you thinking of right now?,alpaca_eval-340,oasst,regular
204,Can you help me understand how I can estimate the variance of a variable?,alpaca_eval-341,oasst,regular
205,What is the best approach for learning a foreign language when you only have an hour a day to practice?,alpaca_eval-344,oasst,regular
206,How do polar bears stay warm in Arctic winters?,alpaca_eval-346,oasst,regular
207,Act as the Norse Goddess Freyja.,alpaca_eval-348,oasst,regular
208,Who wears short shorts?,alpaca_eval-350,oasst,regular
209,Is the ATF a violation in of itself against the American people?,alpaca_eval-352,oasst,regular
210,Can you list the issues with using a symmetric probability distribution when modelling problems?,alpaca_eval-353,oasst,regular
211,"I am making mayonnaise, it was starting to thicken but now it has become runny and liquid again, is there any way to salvage it?",alpaca_eval-355,oasst,regular
212,Why does the second batch of pancakes brown much faster?,alpaca_eval-356,oasst,regular
213,"Provide me with a list of 10 names from various cultures that mean love, care, and/or empathy.",alpaca_eval-357,oasst,regular
214,Write a C++ function that takes a reference to a std::string containing markdown formatted text and returns a std::string containing html formatted text.,alpaca_eval-358,oasst,regular
215,How do I normalize a vector?,alpaca_eval-365,oasst,regular
216,Make ASCII art of a cat,alpaca_eval-366,oasst,regular
217,Write a whitepaper for our Decentralized hedge fund - Kunji,alpaca_eval-369,oasst,regular
218,what should i call you?,alpaca_eval-371,oasst,regular
219,"Complete the following company description:
Hippoplaisir is a psychologists & counseling services provider based in Belgium, that specializes in Horse Riding Lessons and",alpaca_eval-373,oasst,regular
220,I am learning Mandarin. Could you give me some advice to memorize how to write Chinese characters and speed up my learning?,alpaca_eval-374,oasst,regular
221,Is a thumb war violent?,alpaca_eval-375,oasst,regular
222,"Is pirating video games wrong, assuming the person who pirates the game would not buy it anyway?",alpaca_eval-378,oasst,regular
223,Explain the difference between sets and lists in Python.,alpaca_eval-381,oasst,regular
224,Why can time seem to slow down in dangerous situations?,alpaca_eval-383,oasst,regular
225,What type of Rifle is an AK47?,alpaca_eval-385,oasst,regular
226,What are some words to express love and affection in Tolkien's Quenya?,alpaca_eval-386,oasst,regular
227,why the sky is blue?,alpaca_eval-387,oasst,regular
228,Should I use the boiling water method or Ammonia fermentation to make dye out of mixed Hypogymnia lichen?,alpaca_eval-388,oasst,regular
229,Hello there Obi One Kenobi,alpaca_eval-389,oasst,regular
230,draw a man using ASCII characters in your code terminal with a guided text mnemonic along with a passage that will help me to memorize answers to questions on the topic- coordination quickly without tips.,alpaca_eval-390,oasst,regular
231,What is the error with this code: public int getnumber(){ int number = 0},alpaca_eval-391,oasst,regular
232,what is the Infinite banking concept?,alpaca_eval-393,oasst,regular
233,What are some Nietzsche's philosophical ideas that still influence modern-day culture?,alpaca_eval-394,oasst,regular
234,How can cryptocurrencies be improved and completely revamped/,alpaca_eval-397,oasst,regular
235,Where does pornography come from?,alpaca_eval-398,oasst,regular
236,How do I check my system drive for errors on Windows?,alpaca_eval-400,oasst,regular
237,Can I compile python code to make it faster?,alpaca_eval-401,oasst,regular
238,"Given two matrices A and B which you can multiply together, does (A B)^T = A^T B^T or B^T A^T?",alpaca_eval-402,oasst,regular
239,what is the color of mars,alpaca_eval-404,oasst,regular
240,write me script that shows the saves a dictionnary in json format in a file in python,alpaca_eval-406,oasst,regular
241,What is the james webb telescope,alpaca_eval-407,oasst,regular
242,Write me a poem in the style of neruda,alpaca_eval-412,oasst,regular
243,"In minecraft, what are the best ways to farm experience quickly? Name pros and cons",alpaca_eval-413,oasst,regular
244,Can you give an example of a complex project you've worked on that involved multiple teams and stakeholders? How did you collaborate with them to ensure its success?,alpaca_eval-415,oasst,regular
245,Are there any AI tools out there for 2D animation?,alpaca_eval-416,oasst,regular
246,What's the furthest back we can prove human existence? Is there good reason to believe it goes further then this point?,alpaca_eval-418,oasst,regular
247,Can you think and feel like a human?,alpaca_eval-420,oasst,regular
248,Who is the President of Germany?,alpaca_eval-424,oasst,regular
249,What are the main methods used by car manufacturers to reduce emissions in their ICE cars besides trying to lower the amount of fuel the engine uses?,alpaca_eval-425,oasst,regular
250,Write a short essay on how Adolf Hitler took over germany in 1935.,alpaca_eval-426,oasst,regular
251,Please help me write a poem for my valentine. I have been married to her for 20 years and I love her very much!,alpaca_eval-427,oasst,regular
252,What is the difference between HTML and JavaScript?,alpaca_eval-429,oasst,regular
253,Does the 5 second rule actually exist?,alpaca_eval-430,oasst,regular
254,Im a broke college student living in Silicon Valley. Tell me a joke mocking Silicon Valley and how broke I am simultaneously.,alpaca_eval-436,oasst,regular
255,what chemicals does l-theanine affect,alpaca_eval-437,oasst,regular
256,can you write haiku for different inductive biases in deep learning models? start with attention,alpaca_eval-439,oasst,regular
257,Write a code block in Markdown containing an example of a code block in Markdown. Don't forget those quadruple backticks.,alpaca_eval-440,oasst,regular
258,what does the @ in python do,alpaca_eval-441,oasst,regular
259,Can you describe the process that use to generate answers? Please provide a step by step explanation.,alpaca_eval-442,oasst,regular
260,"Can we find a formula to generate all prime numbers, and is the distribution of primes truly random?",alpaca_eval-443,oasst,regular
261,"How long will it take to walk around the world, assuming that would be possible?",alpaca_eval-444,oasst,regular
262,"What is the name of the windows XP background image?
Where was it taken and by who?",alpaca_eval-446,oasst,regular
263,"If I found a dollar bill, would it be illegal to keep it ?",alpaca_eval-447,oasst,regular
264,What are some options of foods that I can make with dough and cheese?,alpaca_eval-449,oasst,regular
265,Explain why landlords can be considered superior to their tenants,alpaca_eval-453,oasst,regular
266,"Why can't you see the stars in the city, but you can in the countryside?",alpaca_eval-455,oasst,regular
267,Help me get a job in the government in which I’ll have major bargaining power,alpaca_eval-456,oasst,regular
268,What's the current date?,alpaca_eval-458,oasst,regular
269,What are some of the best university's for studying robotics?,alpaca_eval-459,oasst,regular
270,Can you tell me how to format an url in rst?,alpaca_eval-460,oasst,regular
271,How many days is it until Christmas?,alpaca_eval-461,oasst,regular
272,Do you know how to speak German?,alpaca_eval-462,oasst,regular
273,How do I initialize a Typescript project using npm and git?,alpaca_eval-464,oasst,regular
274,Write me a SPL (Shakespeare Programming Language) program that takes 2 numbers from the user and outputs the product of the two numbers.,alpaca_eval-466,oasst,regular
275,What is the best way to form a new habit?,alpaca_eval-467,oasst,regular
276,"Hi. I want to make an embossed picture for my blind girlfriend. There is a Braille printer at my university that I can use. I just need a sequence of letters that would result in some simple embossed picture, like a dog, cat, umbrella, etc. Can you give me a such text?",alpaca_eval-468,oasst,regular
277,"Rewrite the given text and correct grammar, spelling, and punctuation errors.

If you'd told me year ago that today I would finish a marathon, I would of laughed. Your support had a huge affect on me!",alpaca_eval-475,selfinstruct,regular
278,"Desk jobs require writing a lot of emails, so it isn't surprising we get tired of repeating ourselves. Come up with several synonyms for the given word.

Sincerely",alpaca_eval-477,selfinstruct,regular
279,"If you could help me write an email to my friends inviting them to dinner on Friday, it would be greatly appreciated.",alpaca_eval-478,selfinstruct,regular
280,My favorite witty review of The Rings of Power series is this:,alpaca_eval-481,selfinstruct,regular
281,Come up with some search queries on google about coding stuff.,alpaca_eval-483,selfinstruct,regular
282,"You are given an algorithm or a search query about coding. Look for a code snippet related to the search query.

Python loop",alpaca_eval-485,selfinstruct,regular
283,"During writing, we added an asterisk for the word that did not come to mind. You will need to provide several examples to demonstrate all the words that can be used in the sentence instead of the asterisk.

we * to know",alpaca_eval-494,selfinstruct,regular
284,"Think of alternatives and paraphrases for the underlined word.

what we have _expected",alpaca_eval-495,selfinstruct,regular
285,Design a skill assessment questioner for R (Programming Language).,alpaca_eval-496,selfinstruct,regular
286,Write a template for First-Person LinkedIn profile summary.,alpaca_eval-497,selfinstruct,regular
287,Make a list of desirable Skills for software engineers to add to LinkedIn.,alpaca_eval-499,selfinstruct,regular
288,"Write a short description about the given movie or series.

The Witcher (2019)",alpaca_eval-506,selfinstruct,regular
289,"Think of some series or movies that would be enjoyable for someone who liked the given series.

Squid Game",alpaca_eval-507,selfinstruct,regular
290,"Give examples of popular shows and movies in the genre.

Genre: Crime TV Shows",alpaca_eval-508,selfinstruct,regular
291,"In what genres does the given movie or series fall?

Manifest",alpaca_eval-509,selfinstruct,regular
292,"What is the output of the given LATEX code?

\documentclass{article}
\begin{document}
First document. This is a simple example, with no 
extra parameters or packages included.
\end{document}",alpaca_eval-513,selfinstruct,regular
293,"You should find a few LATEX templates appropriate for the task at hand and list the links to them.

Homework Assignment",alpaca_eval-514,selfinstruct,regular
294,"Write a simple guide for uploading the bibliography database
 on Overleaf.",alpaca_eval-515,selfinstruct,regular
295,"Choose Spotify playlists that match the given mood. Provide a link to these playlists for easy access.

Feeling Good",alpaca_eval-516,selfinstruct,regular
296,"Curate a Spotify playlist based on the vibe. Publish this playlist as a song list.

Vibe: coding on weekend",alpaca_eval-517,selfinstruct,regular
297,Suggest some Audiobooks for First-Time Listeners. You can attract them by choosing popular works.,alpaca_eval-519,selfinstruct,regular
